Z,DIST
1.091,3519.715
1.092,3522.022
1.093,3524.329
1.094,3526.634
1.095,3528.937
1.096,3531.240
1.097,3533.541
1.098,3535.840
1.099,3538.139
1.100,3540.436
1.101,3542.732
1.102,3545.026
1.103,3547.319
1.104,3549.611
1.105,3551.902
1.106,3554.191
1.107,3556.479
1.108,3558.766
1.109,3561.051
1.110,3563.335
1.111,3565.618
1.112,3567.899
1.113,3570.179
1.114,3572.458
1.115,3574.736
1.116,3577.012
1.117,3579.287
1.118,3581.561
1.119,3583.833
1.120,3586.104
1.121,3588.374
1.122,3590.642
1.123,3592.909
1.124,3595.175
1.125,3597.440
1.126,3599.703
1.127,3601.965
1.128,3604.226
1.129,3606.486
1.130,3608.744
1.131,3611.001
1.132,3613.257
1.133,3615.511
1.134,3617.764
1.135,3620.016
1.136,3622.266
1.137,3624.516
1.138,3626.764
1.139,3629.010
1.140,3631.256
1.141,3633.500
1.142,3635.743
1.143,3637.985
1.144,3640.225
1.145,3642.464
1.146,3644.702
1.147,3646.939
1.148,3649.174
1.149,3651.408
1.150,3653.641
1.151,3655.872
1.152,3658.102
1.153,3660.331
1.154,3662.559
1.155,3664.786
1.156,3667.011
1.157,3669.235
1.158,3671.458
1.159,3673.679
1.160,3675.899
1.161,3678.118
1.162,3680.336
1.163,3682.552
1.164,3684.768
1.165,3686.982
1.166,3689.194
1.167,3691.406
1.168,3693.616
1.169,3695.825
1.170,3698.033
1.171,3700.239
1.172,3702.445
1.173,3704.649
1.174,3706.851
1.175,3709.053
1.176,3711.253
1.177,3713.452
1.178,3715.650
1.179,3717.847
1.180,3720.042
1.181,3722.236
1.182,3724.429
1.183,3726.621
1.184,3728.811
1.185,3731.000
1.186,3733.188
1.187,3735.375
1.188,3737.561
1.189,3739.745
1.190,3741.928
1.191,3744.110
1.192,3746.291
1.193,3748.470
1.194,3750.648
1.195,3752.825
1.196,3755.001
1.197,3757.175
1.198,3759.349
1.199,3761.521
1.200,3763.692
1.201,3765.861
1.202,3768.030
1.203,3770.197
1.204,3772.363
1.205,3774.528
1.206,3776.692
1.207,3778.854
1.208,3781.015
1.209,3783.175
1.210,3785.334
1.211,3787.492
1.212,3789.648
1.213,3791.803
1.214,3793.957
1.215,3796.110
1.216,3798.262
1.217,3800.412
1.218,3802.561
1.219,3804.709
1.220,3806.856
1.221,3809.002
1.222,3811.146
1.223,3813.289
1.224,3815.431
1.225,3817.572
1.226,3819.712
1.227,3821.850
1.228,3823.987
1.229,3826.123
1.230,3828.258
1.231,3830.392
1.232,3832.524
1.233,3834.656
1.234,3836.786
1.235,3838.915
1.236,3841.043
1.237,3843.169
1.238,3845.295
1.239,3847.419
1.240,3849.542
1.241,3851.664
1.242,3853.785
1.243,3855.904
1.244,3858.022
1.245,3860.140
1.246,3862.256
1.247,3864.370
1.248,3866.484
1.249,3868.597
1.250,3870.708
1.251,3872.818
1.252,3874.927
1.253,3877.035
1.254,3879.142
1.255,3881.247
1.256,3883.351
1.257,3885.455
1.258,3887.557
1.259,3889.657
1.260,3891.757
1.261,3893.856
1.262,3895.953
1.263,3898.049
1.264,3900.144
1.265,3902.238
1.266,3904.331
1.267,3906.423
1.268,3908.513
1.269,3910.602
1.270,3912.690
1.271,3914.777
1.272,3916.863
1.273,3918.948
1.274,3921.032
1.275,3923.114
1.276,3925.195
1.277,3927.275
1.278,3929.354
1.279,3931.432
1.280,3933.509
1.281,3935.584
1.282,3937.659
1.283,3939.732
1.284,3941.804
1.285,3943.875
1.286,3945.945
1.287,3948.014
1.288,3950.081
1.289,3952.148
1.290,3954.213
1.291,3956.277
1.292,3958.340
1.293,3960.402
1.294,3962.463
1.295,3964.522
1.296,3966.581
1.297,3968.638
1.298,3970.695
1.299,3972.750
1.300,3974.804
1.301,3976.857
1.302,3978.908
1.303,3980.959
1.304,3983.009
1.305,3985.057
1.306,3987.104
1.307,3989.151
1.308,3991.196
1.309,3993.240
1.310,3995.282
1.311,3997.324
1.312,3999.365
1.313,4001.404
1.314,4003.442
1.315,4005.480
1.316,4007.516
1.317,4009.551
1.318,4011.585
1.319,4013.618
1.320,4015.649
1.321,4017.680
1.322,4019.709
1.323,4021.738
1.324,4023.765
1.325,4025.791
1.326,4027.816
1.327,4029.840
1.328,4031.863
1.329,4033.885
1.330,4035.906
1.331,4037.925
1.332,4039.944
1.333,4041.961
1.334,4043.977
1.335,4045.993
1.336,4048.007
1.337,4050.020
1.338,4052.032
1.339,4054.043
1.340,4056.052
1.341,4058.061
1.342,4060.068
1.343,4062.075
1.344,4064.080
1.345,4066.085
1.346,4068.088
1.347,4070.090
1.348,4072.091
1.349,4074.091
1.350,4076.090
1.351,4078.088
1.352,4080.084
1.353,4082.080
1.354,4084.075
1.355,4086.068
1.356,4088.060
1.357,4090.052
1.358,4092.042
1.359,4094.031
1.360,4096.019
1.361,4098.006
1.362,4099.992
1.363,4101.977
1.364,4103.961
1.365,4105.944
1.366,4107.925
1.367,4109.906
1.368,4111.886
1.369,4113.864
1.370,4115.841
1.371,4117.818
1.372,4119.793
1.373,4121.767
1.374,4123.740
1.375,4125.713
1.376,4127.684
1.377,4129.654
1.378,4131.622
1.379,4133.590
1.380,4135.557
1.381,4137.523
1.382,4139.488
1.383,4141.451
1.384,4143.414
1.385,4145.375
1.386,4147.336
1.387,4149.295
1.388,4151.254
1.389,4153.211
1.390,4155.167
1.391,4157.122
1.392,4159.077
1.393,4161.030
1.394,4162.982
1.395,4164.933
1.396,4166.883
1.397,4168.832
1.398,4170.780
1.399,4172.727
1.400,4174.672
1.401,4176.617
1.402,4178.561
1.403,4180.504
1.404,4182.445
1.405,4184.386
1.406,4186.326
1.407,4188.264
1.408,4190.202
1.409,4192.138
1.410,4194.074
1.411,4196.008
1.412,4197.941
1.413,4199.874
1.414,4201.805
1.415,4203.735
1.416,4205.665
1.417,4207.593
1.418,4209.520
1.419,4211.446
1.420,4213.372
1.421,4215.296
1.422,4217.219
1.423,4219.141
1.424,4221.062
1.425,4222.982
1.426,4224.901
1.427,4226.819
1.428,4228.736
1.429,4230.652
1.430,4232.567
1.431,4234.481
1.432,4236.394
1.433,4238.306
1.434,4240.217
1.435,4242.127
1.436,4244.036
1.437,4245.943
1.438,4247.850
1.439,4249.756
1.440,4251.661
1.441,4253.565
1.442,4255.468
1.443,4257.369
1.444,4259.270
1.445,4261.170
1.446,4263.069
1.447,4264.967
1.448,4266.863
1.449,4268.759
1.450,4270.654
1.451,4272.548
1.452,4274.440
1.453,4276.332
1.454,4278.223
1.455,4280.113
1.456,4282.002
1.457,4283.889
1.458,4285.776
1.459,4287.662
1.460,4289.547
1.461,4291.431
1.462,4293.313
1.463,4295.195
1.464,4297.076
1.465,4298.956
1.466,4300.835
1.467,4302.713
1.468,4304.590
1.469,4306.465
1.470,4308.340
1.471,4310.214
1.472,4312.087
1.473,4313.959
1.474,4315.830
1.475,4317.700
1.476,4319.569
1.477,4321.437
1.478,4323.304
1.479,4325.170
1.480,4327.035
1.481,4328.899
1.482,4330.763
1.483,4332.625
1.484,4334.486
1.485,4336.346
1.486,4338.205
1.487,4340.064
1.488,4341.921
1.489,4343.777
1.490,4345.632
1.491,4347.487
1.492,4349.340
1.493,4351.193
1.494,4353.044
1.495,4354.895
1.496,4356.744
1.497,4358.593
1.498,4360.440
1.499,4362.287
1.500,4364.133
1.501,4365.977
1.502,4367.821
1.503,4369.664
1.504,4371.506
1.505,4373.346
1.506,4375.186
1.507,4377.025
1.508,4378.863
1.509,4380.700
1.510,4382.536
1.511,4384.371
1.512,4386.206
1.513,4388.039
1.514,4389.871
1.515,4391.702
1.516,4393.533
1.517,4395.362
1.518,4397.190
1.519,4399.018
1.520,4400.844
1.521,4402.670
1.522,4404.495
1.523,4406.318
1.524,4408.141
1.525,4409.963
1.526,4411.784
1.527,4413.604
1.528,4415.423
1.529,4417.241
1.530,4419.058
1.531,4420.874
1.532,4422.689
1.533,4424.503
1.534,4426.317
1.535,4428.129
1.536,4429.940
1.537,4431.751
1.538,4433.561
1.539,4435.369
1.540,4437.177
1.541,4438.984
1.542,4440.789
1.543,4442.594
1.544,4444.398
1.545,4446.201
1.546,4448.003
1.547,4449.805
1.548,4451.605
1.549,4453.404
1.550,4455.203
1.551,4457.000
1.552,4458.797
1.553,4460.592
1.554,4462.387
1.555,4464.181
1.556,4465.973
1.557,4467.765
1.558,4469.556
1.559,4471.346
1.560,4473.136
1.561,4474.924
1.562,4476.711
1.563,4478.497
1.564,4480.283
1.565,4482.067
1.566,4483.851
1.567,4485.634
1.568,4487.416
1.569,4489.197
1.570,4490.977
1.571,4492.756
1.572,4494.534
1.573,4496.311
1.574,4498.087
1.575,4499.863
1.576,4501.637
1.577,4503.411
1.578,4505.183
