pgc,Nest,Dist,DM,eD,C,T,L,M,S,N,H,F,RAJ,DeJ,Glon,Glat,SGL,SGB,Ty,Asfd,Btot,Ks,Vhel,Vgsr,Vls,Vcmb,Vmod,Name,Icnt,2Mass,Ndgp,Dgp,DMgp,eDgp,NV,Lgp,Bgp,SGLgp,SGBgp,Tgp,S_B,S_K,Vhgp,Vggp,Vlsgp,Vcgp,Vmgp,Vrms,GroupName
73148,0,78.34,34.47,0.20,,,,,,,H,,235913.7,+255631.6,108.4930,-35.4622,319.0025,19.0923,5,0.18,15.79,0.00,7014,7201,7270,6670,6788,AGC331047,0,0,1,78.34,34.47,0.20,1,108.4930,-35.4622,319.0025,19.0923,5,15.79,0.00,7014,7201,7270,6670,6788,0,
73151,202210,77.98,34.46,0.20,,,,,,,H,,235910.7,-040737.1,92.1831,-63.8340,288.5441,12.2472,3,0.16,13.92,10.01,5746,5850,5894,5390,5467,PGC073151,0,0,1,77.98,34.46,0.20,1,92.1831,-63.8340,288.5441,12.2472,3,13.92,10.01,5746,5850,5894,5390,5467,0,
73154,211551,58.34,33.83,0.20,,,,,,,H,,235919.5,+044538.0,99.4294,-55.7141,297.3381,14.6727,8,0.16,15.28,10.61,3865,3997,4050,3502,3535,UGC12881,0,0,1,58.34,33.83,0.20,1,99.4294,-55.7141,297.3381,14.6727,8,15.28,10.61,3865,3997,4050,3502,3535,0,
73156,200786,76.21,34.41,0.20,,,,,,,H,,235920.2,+311706.0,110.0445,-30.2795,324.6216,19.7859,6,0.21,16.43,0.00,5005,5202,5274,4674,4732,UGC12882,0,0,1,76.21,34.41,0.20,1,110.0445,-30.2795,324.6216,19.7859,6,16.43,0.00,5005,5202,5274,4674,4732,0,
73171,0,128.82,35.55,0.20,,,,,,,H,,235930.6,+181212.5,105.9803,-42.9527,310.9814,17.6918,4,0.14,15.25,0.00,6631,6801,6865,6275,6379,UGC12886,0,0,1,128.82,35.55,0.20,1,105.9803,-42.9527,310.9814,17.6918,4,15.25,0.00,6631,6801,6865,6275,6379,0,
73199,0,134.90,35.65,0.20,,,,,,,H,,000003.5,+260049.9,108.7377,-35.4378,319.1082,18.9180,5,0.18,16.24,0.00,10406,10593,10662,10063,10329,AGC331405,0,0,1,134.90,35.65,0.20,1,108.7377,-35.4378,319.1082,18.9180,5,16.24,0.00,10406,10593,10662,10063,10329,0,
73243,200108,172.19,36.18,0.20,,,,,,,H,,000622.4,-501002.8,320.4279,-65.4022,245.3594,-4.4749,3,0.05,16.36,0.00,10657,10587,10571,10462,10750,PGC073243,0,0,1,172.19,36.18,0.20,1,320.4279,-65.4022,245.3594,-4.4749,3,16.36,0.00,10657,10587,10571,10462,10750,0,
73275,202010,130.02,35.57,0.20,,,,,,,H,,001127.8,+274725.1,112.2286,-34.2492,321.3681,16.6841,4,0.21,16.42,0.00,7401,7586,7656,7065,7197,AGC101105,0,0,1,130.02,35.57,0.20,1,112.2286,-34.2492,321.3681,16.6841,4,16.42,0.00,7401,7586,7656,7065,7197,0,
73385,200127,124.17,35.47,0.25,,,,,,,,F,003915.7,+064117.9,117.5120,-56.0552,301.8494,5.5784,-4,0.17,0.00,11.62,11594,11709,11764,11249,11582,PGC073385,2012,3233,9,141.25,35.75,0.08,9,117.7084,-55.8693,302.0625,5.5387,-3,0.00,8.72,11817,11933,11988,11473,11819,413,A0076
73393,200127,141.25,35.75,0.25,,,,,,,,F,003933.4,+064853.1,117.6615,-55.9354,301.9913,5.5408,-4,0.19,15.45,10.86,11931,12047,12102,11586,11939,PGC073393,2012,3233,9,141.25,35.75,0.08,9,117.7084,-55.8693,302.0625,5.5387,-3,0.00,8.72,11817,11933,11988,11473,11819,413,A0076
73395,200127,139.32,35.72,0.25,,,,,,,,F,003936.1,+063951.0,117.6591,-56.0864,301.8483,5.4906,-4,0.16,16.23,0.00,11650,11765,11820,11305,11641,PGC073395,2012,3233,9,141.25,35.75,0.08,9,117.7084,-55.8693,302.0625,5.5387,-3,0.00,8.72,11817,11933,11988,11473,11819,413,A0076
73454,200043,220.80,36.72,0.20,,,,,,,H,,005442.1,-012921.2,124.8168,-64.3490,294.9955,-0.3276,3,0.18,16.12,12.15,11856,11936,11982,11525,11874,XJ00544214,2022,3134,17,177.15,36.24,0.05,30,125.7870,-64.0383,295.3961,-0.6664,0,0.00,7.91,13079,13159,13205,12749,13176,857,A0119
73466,200043,151.36,35.90,0.25,,,,,,,,F,005521.4,-012108.7,125.1829,-64.2070,295.1714,-0.4479,-1,0.16,16.56,0.00,12433,12513,12559,12103,12488,PGC073466,2022,3134,17,177.15,36.24,0.05,30,125.7870,-64.0383,295.3961,-0.6664,0,0.00,7.91,13079,13159,13205,12749,13176,857,A0119
73474,200043,152.05,35.91,0.25,,,,,,,,F,005540.7,-011843.0,125.3641,-64.1637,295.2321,-0.5143,0,0.16,15.86,0.00,13115,13195,13241,12785,13214,PGC073474,2022,3134,17,177.15,36.24,0.05,30,125.7870,-64.0383,295.3961,-0.6664,0,0.00,7.91,13079,13159,13205,12749,13176,857,A0119
73486,200043,152.05,35.91,0.25,,,,,,,,F,005602.7,-012003.4,125.5763,-64.1824,295.2354,-0.6086,-4,0.16,15.66,11.33,12833,12913,12959,12503,12913,PGC073486,2022,3134,17,177.15,36.24,0.05,30,125.7870,-64.0383,295.3961,-0.6664,0,0.00,7.91,13079,13159,13205,12749,13176,857,A0119
73507,200043,166.72,36.11,0.10,,,,,,N,,,005629.2,-011332.3,125.8186,-64.0691,295.3699,-0.6856,-4,0.17,17.35,0.00,11513,11593,11639,11183,11512,,0,0,1,166.72,36.11,0.10,1,125.8186,-64.0691,295.3699,-0.6856,-4,17.35,0.00,11513,11593,11639,11183,11512,0,
73522,200043,207.01,36.58,0.20,,,,,,,H,,005646.6,-013547.1,126.0248,-64.4361,295.0325,-0.8556,3,0.16,16.40,12.45,13556,13634,13680,13227,13686,XJ00564659,2022,3134,17,177.15,36.24,0.05,30,125.7870,-64.0383,295.3961,-0.6664,0,0.00,7.91,13079,13159,13205,12749,13176,857,A0119
73540,200043,178.65,36.26,0.20,,,,,,,H,,005741.6,-011844.8,126.5187,-64.1404,295.3682,-0.9995,3,0.17,16.63,0.00,14155,14233,14280,13826,14327,XJ00574158,2022,0,17,177.15,36.24,0.05,30,125.7870,-64.0383,295.3961,-0.6664,0,0.00,7.91,13079,13159,13205,12749,13176,857,A0119
